Player name,Rating,Won,Draw,Lost,Last Online,Joined
Keiuncho,1347,19,1,4,16-12-2022,29-11-2021
Yuki_Kitamura,1347,916,95,973,16-01-2023,05-01-2014
Jion1,1347,16,0,7,20-08-2021,17-05-2021
tkkanet,1347,138,10,87,04-12-2022,26-04-2013
mossan04,1347,211,10,155,16-01-2023,04-01-2021
Nayeon_chan,1346,41,3,31,16-01-2023,02-07-2020
emptyopen,1346,32,0,27,16-01-2023,12-05-2020
JoelRandrianjafy,1346,186,15,185,16-01-2023,31-05-2018
brandonk1324,1346,575,58,459,16-01-2023,02-03-2016
bkoyama,1346,452,34,357,16-01-2023,21-11-2021
account111111,1346,129,9,129,16-01-2023,18-10-2021
kurosakiPro,1346,12,3,6,07-11-2022,29-10-2013
Sushimaster16,1346,39,2,6,06-12-2021,21-01-2021
pshio55,1346,1243,87,1207,19-10-2022,16-01-2021
azumaseiichi10,1346,31,1,17,16-01-2023,16-12-2020
hakeeda,1345,73,4,67,16-01-2023,28-04-2018
h0sh1,1345,10,2,12,09-06-2022,12-09-2015
Aencient_Haru,1345,81,1,14,16-01-2023,17-11-2022
JPring03,1345,84,2,76,06-08-2021,16-06-2021
eulaverdad,1345,249,27,218,16-01-2023,04-03-2021
bananapancake5,1345,13,1,13,16-01-2023,15-02-2021
Alcatrav,1345,21,2,5,25-08-2022,11-02-2021
fangelique,1345,63,5,43,16-01-2023,14-01-2021
Manraj_japan,1344,1119,135,1058,16-01-2023,14-10-2020
LightningAlekhine,1344,36,4,27,16-01-2023,24-07-2020
tomopiro,1344,807,117,815,16-01-2023,16-04-2020
caelin44,1344,51,5,42,25-06-2021,23-03-2020
moez2303,1344,83,11,72,16-01-2023,13-12-2019
gelementoos,1344,13,4,7,22-10-2022,15-01-2019
Alcajeda,1344,146,21,148,16-01-2023,11-11-2018
amitksharma35977,1344,484,53,464,16-01-2023,12-06-2014
shiriv,1344,120,12,105,16-01-2023,13-04-2014
