Date,Time,L_logged-in,L_games in progress,L_ultra bullet,L_bullet,L_blitz,L_rapid,L_classical,L_chess960,C_total members,C_players online,C_bullet,C_blitz,C_rapid,C_daily,C_daily960
30-01-2023,15:35,47459,19932,14697,423618,826778,509474,56546,10140,109295068,312082,8397115,13160372,34313582,2577180,380528
30-01-2023,15:36,47311,19842,14697,423618,826778,509474,56546,10140,109295068,312082,8397115,13160372,34313582,2577180,380528
